Date,SP,Marker,Nests,Left Tag,Rigth Tag,Nº Nido,NORTE ,ESTE,,,
2021-07-08,Ei,1,N,,,DB055Ei,9.42900,-82.31947,,,
2021-07-09,Ei,,,,,,,,,,
2021-07-10,Ei,Gundula,N,,,DB056Ei,9.43156,-82.30336,,,
2021-07-11,Ei,Gundula,N,,,DB057Ei,9.43167,-82.30285,,,
2021-07-12,Ei,12,N,,,DB058Ei,9.42859,-82.30897,,,
2021-07-14,Ei,Gundula,N,,,DB059Ei,9.43160,-82.30357,,,
2021-07-15,Ei,2,N,CH11735,CH11736,DB060Ei,9.42859,-82.31817,,,
2021-07-15,Ei,12,N,,,DB061Ei,9.42803,-82.30908,,,
2021-07-16,Ei,Gundula,N,,,DB062Ei,9.43165,-82.30338,,,
2021-07-16,Ei,9,N,,,DB063Ei,9.42789,-82.31179,,,
2021-07-17,Ei,1,N,CH11742,CH11743,DB065Ei,9.42866,-82.31869,,,
2021-07-17,Ei,3,N,,,DB064Ei,9.42852,-82.31787,,,
2021-07-17,Ei,11,N,,,DB066Ei,9.42790,-82.31004,,,
2021-07-18,Ei,4,N,,,DB067Ei,9.42833,-82.31683,,,
2021-07-21,Ei,12,N,CH11713,CH11714,DB068Ei,9.42804,-82.30925,,,
2021-07-21,Ei,Gundula,N,,,DB068EiB,9.43164,-82.30339,,,
2021-07-24,Ei,9,N,,,DB069Ei,9.42800,-82.30925,,,
2021-07-25,Ei,Gundula,N,,,DB070Ei,9.43169,-82.30280,,,
2021-07-26,Ei,3,N,,,DB071Ei,9.42856,-82.31698,,,
2021-07-29,Ei,3,N,,,DB072Ei,9.42856,-82.31698,,,
2021-07-29,Ei,9,N,,,DB074Ei,9.42795,-82.31194,,,
2021-07-29,Ei,10,N,CH11715,CH11716,DB073Ei,9.42790,-82.31097,,,
2021-07-30,Ei,5,N,,,DB076Ei,9.42823,-82.31519,,,
2021-07-30,Ei,10,N,CH11717,CH11719,DB075Ei,9.42788,-82.31093,,,
2021-07-31,Ei,11,N,CH11720,CH11722,DB077Ei,9.42794,-82.31052,,,
2021-07-31,Ei,16,N,,,DB078Ei,9.42979,-82.30615,,,
2021-08-02,Ei,4,N,CH11711,CH11712,DB079Ei,9.42835,-82.31790,,,
2021-08-03,Ei,2,N,CH11723,CH11730,DB080Ei,9.42855,-82.31801,,,
2021-08-04,Ei,Gundula,N,,,DB082Ei,9.43164,-82.31802,,,
2021-08-05,Ei,6,N,CH11740,CH11741,DB086Ei,9.43156,-82.30369,,,
2021-08-05,Ei,Gundula,N,,,DB083Ei,9.43159,-82.30349,,,
2021-08-07,Ei,2,N,,,DB084Ei,9.42861,-82.31802,,,
2021-08-13,Ei,Gundula,N,,,DB085Ei,9.43158,-82.30360,,,
2021-08-14,Ei,2,N,,,DB087Ei,9.42859,-82.31824,,,
2021-08-15,Ei,11,N,,,DB088Ei,9.42790,-82.31010,,,
2021-08-15,Ei,1,N,,,DB089Ei,9.42077,-82.31889,,,
2021-08-16,Ei,Kate&Alex,N,,,DB090Ei,9.43226,-82.30119,,,
2021-08-16,Ei,16,N,,,DB091Ei,9.42969,-82.30631,,,
2021-08-17,Ei,4,N,,,DB092Ei,9.42827,-82.31606,,,
2021-08-18,Ei,Gundula,N,,,DB093Ei,9.43147,-82.30396,,,
2021-08-20,Ei,13,N,,,DB094Ei,9.42821,-82.30834,,,
2021-08-21,Ei,1,N,,,DB095Ei,9.42872,-82.31899,,,
2021-08-22,Ei,Gundula,N,,,DB096Ei,9.43153,-82.30380,,,
2021-08-23,Ei,Gundula,N,,,DB097Ei,9.43156,-82.30370,,,
2021-08-24,Ei,Gundula,N,,,DB098Ei,9.43145,-82.30393,,,
2021-08-25,Ei,11,N,,,DB099Ei,9.42799,-82.30945,,,
2021-08-25,Ei,9,N,,,DB100Ei,9.42792,-82.31203,,,
2021-08-26,Ei,1,N,,,DB101Ei,9.42905,-82.31955,,,
2021-08-29,Ei,11,N,,,DB102Ei,9.42016,-82.30873,,,
2021-08-30,Ei,11,N,,,DB103Ei,9.42791,-82.31047,,,
2021-08-31,Ei,Gundula,N,,,DB104Ei,9.43147,-82.30396,,,
2021-09-01,Ei,Gundula,N,,,DB105Ei,9.43165,-82.30286,,,
2021-09-01,Ei,12,N,,,DB106Ei,9.42800,-82.30939,,,
2021-09-01,Ei,3,N,,,DB107Ei,9.42857,-82.31779,,,
2021-09-02,Ei,12,N,,,DB108Ei,9.42812,-82.30882,,,
2021-09-03,Ei,Gundula,N,,,DB109Ei,9.43156,-82.30386,,,
2021-09-04,Ei,Gundula,N,,,DB110Ei,9.43163,-82.30338,,,
2021-09-06,Ei,Gundula,N,,,DB111Ei,9.43163,-82.30368,,,
2021-09-07,Ei,3,N,,,DB112Ei,9.42854,-82.31785,,,
2021-09-13,Ei,Gundula,N,,,DB113Ei,9.43166,-82.30341,,,
2021-09-15,Ei,6,N,,,DB114Ei,9.42820,-82.31493,,,
2021-09-15,Ei,5,N,,,DB115Ei,9.42820,-82.31528,,,
